customer_id,recencia_dias,frecuencia_compras,ticket_promedio,total_gastado,antiguedad_dias,score_satisfaccion,n_categorias,usa_app,n_tickets_soporte,region,canal_adquisicion,churn,segmento_latente,segmento_id,segmento_nombre,churn_prob,accion
C00000,163,1,93.69,81.75,264,2.5,6,0,2,Lima,Paid Search,1,lost,3,Inactivos,0.99,🚨 Intervención urgente: llamada + descuento 20%
C00001,160,2,77.98,121.69,335,4.5,4,0,2,Piura,Paid Search,1,lost,3,Inactivos,0.925,🚨 Intervención urgente: llamada + descuento 20%
C00002,15,9,207.94,1825.68,1163,3.0,3,0,1,Trujillo,Orgánico,1,loyal,1,Leales,0.825,🚨 Intervención urgente: llamada + descuento 20%
C00003,47,6,157.14,1032.22,343,2.9,5,1,1,Arequipa,Paid Search,0,at_risk,3,Inactivos,0.157,✅ Programa de fidelización estándar
C00004,73,7,136.63,932.15,977,4.3,1,1,0,Lima,Paid Search,1,at_risk,3,Inactivos,0.37,📧 Newsletter personalizado + recomendaciones
C00005,168,3,50.19,139.64,1066,2.7,1,0,4,Lima,Paid Search,0,lost,3,Inactivos,0.934,🚨 Intervención urgente: llamada + descuento 20%
C00006,3,1,131.41,109.75,1690,4.0,4,1,0,Lima,Email,0,new,4,Nuevos,0.129,✅ Programa de fidelización estándar
C00007,5,21,328.09,7430.56,856,4.7,4,0,0,Cusco,Paid Search,0,champion,0,Champions,0.083,✅ Programa de fidelización estándar
C00008,184,1,79.03,76.61,196,1.9,3,1,2,Arequipa,Email,1,lost,3,Inactivos,0.954,🚨 Intervención urgente: llamada + descuento 20%
C00009,9,16,251.3,3313.44,82,4.5,4,0,0,Trujillo,Social,0,champion,1,Leales,0.039,✅ Programa de fidelización estándar
C00010,71,2,65.82,159.0,1239,4.0,6,1,0,Lima,Social,1,at_risk,3,Inactivos,0.228,✅ Programa de fidelización estándar
C00011,14,10,207.42,1785.72,305,3.3,4,0,1,Piura,Email,1,loyal,1,Leales,0.933,🚨 Intervención urgente: llamada + descuento 20%
C00012,39,7,115.79,777.61,476,4.3,6,1,1,Cusco,Directo,0,loyal,3,Inactivos,0.063,✅ Programa de fidelización estándar
C00013,89,5,113.27,539.16,381,3.0,6,0,1,Lima,Orgánico,1,at_risk,3,Inactivos,0.918,🚨 Intervención urgente: llamada + descuento 20%
C00014,105,5,88.14,551.88,39,4.5,3,0,1,Lima,Orgánico,1,at_risk,3,Inactivos,0.931,🚨 Intervención urgente: llamada + descuento 20%
C00015,49,9,204.51,1631.46,439,2.8,4,0,0,Lima,Orgánico,0,loyal,1,Leales,0.035,✅ Programa de fidelización estándar
C00016,181,1,78.71,76.19,176,3.3,6,0,1,Lima,Email,1,lost,3,Inactivos,0.967,🚨 Intervención urgente: llamada + descuento 20%
C00017,101,2,60.89,156.18,1530,3.2,6,1,1,Lima,Social,1,at_risk,3,Inactivos,0.908,🚨 Intervención urgente: llamada + descuento 20%
C00018,13,15,287.89,4061.26,858,4.3,4,0,0,Lima,Orgánico,0,champion,0,Champions,0.102,✅ Programa de fidelización estándar
C00019,207,4,82.52,331.8,659,2.5,4,1,6,Lima,Directo,1,lost,3,Inactivos,0.984,🚨 Intervención urgente: llamada + descuento 20%
C00020,37,11,188.41,1913.01,881,4.1,5,1,0,Arequipa,Orgánico,0,loyal,1,Leales,0.105,✅ Programa de fidelización estándar
C00021,66,5,129.02,494.45,457,3.7,1,0,0,Lima,Directo,0,at_risk,3,Inactivos,0.131,✅ Programa de fidelización estándar
C00022,97,2,20.0,48.37,517,2.7,2,0,4,Lima,Paid Search,0,lost,3,Inactivos,0.064,✅ Programa de fidelización estándar
C00023,31,7,218.51,1698.36,1583,3.9,1,1,0,Lima,Orgánico,1,loyal,1,Leales,0.019,✅ Programa de fidelización estándar
C00024,8,16,308.69,4781.24,1430,4.6,5,0,0,Lima,Paid Search,1,champion,0,Champions,0.72,🚨 Intervención urgente: llamada + descuento 20%
C00025,55,5,133.52,718.02,1791,4.6,2,0,1,Trujillo,Paid Search,0,at_risk,3,Inactivos,0.121,✅ Programa de fidelización estándar
C00026,2,1,125.34,130.8,1165,3.4,1,1,0,Lima,Paid Search,1,new,4,Nuevos,0.171,✅ Programa de fidelización estándar
C00027,233,1,80.07,107.63,613,2.8,3,0,5,Lima,Paid Search,1,lost,3,Inactivos,0.869,🚨 Intervención urgente: llamada + descuento 20%
C00028,152,2,94.46,192.99,685,1.7,5,0,3,Arequipa,Social,0,lost,3,Inactivos,0.212,✅ Programa de fidelización estándar
C00029,226,2,117.57,241.57,645,3.1,3,0,2,Lima,Paid Search,1,lost,3,Inactivos,0.9,🚨 Intervención urgente: llamada + descuento 20%
C00030,31,10,69.23,639.46,244,4.1,3,1,2,Arequipa,Paid Search,1,loyal,3,Inactivos,0.764,🚨 Intervención urgente: llamada + descuento 20%
C00031,44,3,203.67,549.16,1021,3.9,1,0,0,Lima,Email,0,at_risk,3,Inactivos,0.198,✅ Programa de fidelización estándar
C00032,122,1,83.28,95.4,539,2.8,6,1,4,Lima,Email,0,lost,3,Inactivos,0.795,🚨 Intervención urgente: llamada + descuento 20%
C00033,5,18,252.97,4245.75,540,5.0,2,0,0,Piura,Paid Search,0,champion,0,Champions,0.193,✅ Programa de fidelización estándar
C00034,30,14,142.33,2139.32,1642,4.0,6,0,0,Piura,Paid Search,0,loyal,1,Leales,0.153,✅ Programa de fidelización estándar
C00035,36,11,179.52,1718.35,55,4.1,4,1,1,Trujillo,Orgánico,0,loyal,1,Leales,0.09,✅ Programa de fidelización estándar
C00036,57,3,125.2,300.53,1795,4.4,4,0,0,Lima,Orgánico,0,at_risk,3,Inactivos,0.152,✅ Programa de fidelización estándar
C00037,7,1,86.23,91.35,222,4.7,5,0,0,Lima,Email,0,new,4,Nuevos,0.075,✅ Programa de fidelización estándar
C00038,24,20,452.5,9981.59,132,4.7,3,0,0,Arequipa,Orgánico,0,champion,0,Champions,0.105,✅ Programa de fidelización estándar
C00039,51,3,50.28,171.21,1258,3.2,5,1,1,Lima,Paid Search,0,at_risk,3,Inactivos,0.933,🚨 Intervención urgente: llamada + descuento 20%
C00040,13,8,132.26,930.43,440,4.0,1,0,1,Lima,Email,1,loyal,3,Inactivos,0.877,🚨 Intervención urgente: llamada + descuento 20%
C00041,8,1,90.94,105.87,774,3.1,3,1,0,Lima,Orgánico,1,new,4,Nuevos,0.76,🚨 Intervención urgente: llamada + descuento 20%
C00042,25,16,322.02,4294.68,80,4.5,4,0,0,Lima,Email,0,champion,0,Champions,0.09,✅ Programa de fidelización estándar
C00043,102,3,170.07,507.84,1184,3.5,1,0,0,Cusco,Paid Search,0,at_risk,3,Inactivos,0.09,✅ Programa de fidelización estándar
C00044,226,2,80.81,209.08,372,1.5,1,0,3,Lima,Directo,1,lost,3,Inactivos,0.949,🚨 Intervención urgente: llamada + descuento 20%
C00045,227,1,74.18,79.83,1631,3.1,6,1,3,Arequipa,Paid Search,1,lost,3,Inactivos,0.985,🚨 Intervención urgente: llamada + descuento 20%
C00046,40,4,154.45,696.98,1453,3.9,5,1,1,Lima,Social,1,at_risk,3,Inactivos,0.223,✅ Programa de fidelización estándar
C00047,31,11,213.38,2637.62,231,3.0,5,1,0,Lima,Email,0,loyal,1,Leales,0.059,✅ Programa de fidelización estándar
C00048,49,1,134.17,123.52,329,3.4,6,0,1,Lima,Orgánico,1,at_risk,3,Inactivos,0.894,🚨 Intervención urgente: llamada + descuento 20%
C00049,36,10,153.39,1390.66,175,3.6,2,0,0,Lima,Email,0,loyal,1,Leales,0.133,✅ Programa de fidelización estándar
C00050,33,9,247.44,2106.27,799,3.6,4,1,0,Piura,Directo,0,loyal,1,Leales,0.142,✅ Programa de fidelización estándar
C00051,83,3,103.93,266.21,491,3.8,4,1,1,Trujillo,Email,1,at_risk,3,Inactivos,0.87,🚨 Intervención urgente: llamada + descuento 20%
C00052,35,13,163.15,2391.0,945,3.5,5,1,0,Piura,Social,0,loyal,1,Leales,0.47,⚠️ Email win-back + oferta exclusiva VIP
C00053,32,11,164.25,1511.54,853,4.0,4,0,2,Cusco,Social,1,loyal,1,Leales,0.632,⚠️ Email win-back + oferta exclusiva VIP
C00054,178,2,90.27,218.81,533,2.5,4,1,6,Arequipa,Orgánico,1,lost,3,Inactivos,0.992,🚨 Intervención urgente: llamada + descuento 20%
C00055,6,1,96.76,105.67,1669,4.1,1,0,1,Piura,Orgánico,0,new,4,Nuevos,0.046,✅ Programa de fidelización estándar
C00056,59,6,126.01,899.81,180,3.1,6,0,2,Lima,Email,1,at_risk,3,Inactivos,0.831,🚨 Intervención urgente: llamada + descuento 20%
C00057,12,13,323.28,4174.11,1683,4.4,6,1,0,Lima,Paid Search,0,champion,0,Champions,0.082,✅ Programa de fidelización estándar
C00058,15,15,283.82,4515.19,1369,4.5,3,1,1,Lima,Social,0,champion,0,Champions,0.092,✅ Programa de fidelización estándar
C00059,7,1,20.0,18.42,228,3.7,3,0,0,Lima,Directo,0,new,4,Nuevos,0.192,✅ Programa de fidelización estándar
C00060,30,5,166.7,991.23,458,4.4,2,1,0,Lima,Paid Search,0,loyal,3,Inactivos,0.288,📧 Newsletter personalizado + recomendaciones
C00061,18,16,407.2,6286.16,332,4.8,3,0,1,Lima,Orgánico,0,champion,0,Champions,0.023,✅ Programa de fidelización estándar
C00062,90,1,108.6,126.1,933,3.6,6,0,1,Cusco,Social,0,at_risk,3,Inactivos,0.343,📧 Newsletter personalizado + recomendaciones
C00063,75,5,95.41,394.0,527,3.9,4,1,1,Lima,Paid Search,0,at_risk,3,Inactivos,0.984,🚨 Intervención urgente: llamada + descuento 20%
C00064,139,2,76.59,114.43,930,2.9,6,0,4,Lima,Social,1,lost,3,Inactivos,0.807,🚨 Intervención urgente: llamada + descuento 20%
C00065,23,12,149.22,1742.4,820,4.5,1,0,1,Lima,Paid Search,0,loyal,1,Leales,0.053,✅ Programa de fidelización estándar
C00066,25,22,225.66,5605.56,134,4.9,6,0,0,Lima,Email,0,champion,0,Champions,0.043,✅ Programa de fidelización estándar
C00067,3,1,137.36,192.67,39,3.3,3,0,2,Trujillo,Orgánico,0,new,4,Nuevos,0.069,✅ Programa de fidelización estándar
C00068,13,9,151.89,1148.33,1678,3.8,4,0,1,Lima,Email,0,loyal,1,Leales,0.107,✅ Programa de fidelización estándar
C00069,133,1,62.08,66.8,1080,3.4,6,1,4,Piura,Paid Search,1,lost,3,Inactivos,0.956,🚨 Intervención urgente: llamada + descuento 20%
C00070,197,2,77.03,134.01,640,3.1,4,1,1,Trujillo,Email,1,lost,3,Inactivos,0.89,🚨 Intervención urgente: llamada + descuento 20%
C00071,74,3,107.65,296.93,798,3.7,5,0,0,Lima,Orgánico,0,at_risk,3,Inactivos,0.335,📧 Newsletter personalizado + recomendaciones
C00072,38,3,228.09,693.13,356,3.6,6,1,0,Lima,Email,0,loyal,3,Inactivos,0.069,✅ Programa de fidelización estándar
